项目,行次,2025年1月_预算数,实际数,2025年2月_预算数,实际数,累计_预算数,实际数
一、营业收入,1,500.0,520.0,600.0,580.0,1100.0,1100.0
主营业务收入,2,450.0,470.0,540.0,530.0,990.0,1000.0
其他业务收入,3,50.0,50.0,60.0,50.0,110.0,100.0
二、营业成本,4,300.0,310.0,360.0,350.0,660.0,660.0
主营业务成本,5,270.0,280.0,320.0,310.0,590.0,590.0
其他业务成本,6,30.0,30.0,40.0,40.0,70.0,70.0
三、营业毛利,7,200.0,210.0,240.0,230.0,440.0,440.0
四、期间费用,8,80.0,85.0,90.0,88.0,170.0,173.0
销售费用,9,30.0,32.0,35.0,33.0,65.0,65.0
管理费用,10,40.0,43.0,45.0,45.0,85.0,88.0
财务费用,11,10.0,10.0,10.0,10.0,20.0,20.0
五、营业利润,12,120.0,125.0,150.0,142.0,270.0,267.0
六、利润总额,13,120.0,125.0,150.0,142.0,270.0,267.0
七、净利润,14,102.0,106.0,127.5,120.7,229.5,226.7
编制说明：,本表按权责发生制编制，营业收入按实际发货确认，成本按配比原则计算。,,,,,,
